node_1|node_2|edge|chunk_id
arrêté du ministre délégué|ministre de l'économie et des finances|responsabilité|e28c8a47052247b6b0756dd08b9b9728
arrêté n° 1692-23|4 hija 1444 (23 juin 2023)|date d'adoption|e28c8a47052247b6b0756dd08b9b9728
arrêté|dématérialisation des procédures, documents et pièces relatifs aux marchés publics|portée|e28c8a47052247b6b0756dd08b9b9728
loi n° 112-13|nantissement des marchés publics|réglementation basique|e28c8a47052247b6b0756dd08b9b9728
dahir n° 1-15-05|loi n° 112-13|promulgation|e28c8a47052247b6b0756dd08b9b9728
loi n° 43-20|services de confiance pour les transactions électroniques|réglementation|e28c8a47052247b6b0756dd08b9b9728
dahir n° 1-20-100|loi n° 43-20|promulgation|e28c8a47052247b6b0756dd08b9b9728
loi n° 53-05|échange électronique des données juridiques|réglementation|e28c8a47052247b6b0756dd08b9b9728
dahir n° 1-07-129|loi n° 53-05|promulgation|e28c8a47052247b6b0756dd08b9b9728
loi n° 55-19|simplification des procédures et formalités administratives|réglementation|e28c8a47052247b6b0756dd08b9b9728
dahir n° 1-20-06|loi n° 55-19|promulgation|e28c8a47052247b6b0756dd08b9b9728
loi n° 69-00|contrôle financier de l'état sur les entreprises publiques et autres organismes|réglementation|e28c8a47052247b6b0756dd08b9b9728
dahir n° 1-03-195|loi n° 69-00|promulgation|e28c8a47052247b6b0756dd08b9b9728
dahir n° 1-56-211|garanties pécuniaires des soumissionnaires et adjudicataires de marchés publics|réglementation ancienne|e28c8a47052247b6b0756dd08b9b9728
arrêté|dahir n° 1-56-211|mise à jour de|e28c8a47052247b6b0756dd08b9b9728
soumissionnaires|adjudicataires de marchés publics|relation d'acteurs dans le processus de marchés publics|ee44f00cbc434325843fbb7f72845ea1
décret royal n° 330-66|règlement général de comptabilité publique|mention et incorporation|ee44f00cbc434325843fbb7f72845ea1
décret n° 2-07-1235|contrôle des dépenses de l’etat|mention et incorporation|ee44f00cbc434325843fbb7f72845ea1
décret n° 2-14-272|avances en matière de marchés publics|mention et incorporation|ee44f00cbc434325843fbb7f72845ea1
décret n° 2-17-449|règlement de la comptabilité publique des régions|mention et incorporation|ee44f00cbc434325843fbb7f72845ea1
décret n° 2-17-450|règlement de la comptabilité publique des préfectures et provinces|mention et incorporation|ee44f00cbc434325843fbb7f72845ea1
décret n° 2-17-451|règlement de la comptabilité publique des communes et établissements de coopération intercommunale|mention et incorporation|ee44f00cbc434325843fbb7f72845ea1
décret n° 2-22-431|marchés publics|mention et incorporation|ee44f00cbc434325843fbb7f72845ea1
commission nationale de la commande publique|avis|consultation et autorisation|ee44f00cbc434325843fbb7f72845ea1
arrêté|modalités de gestion du portail des marchés publics|disposition spécifique|ee44f00cbc434325843fbb7f72845ea1
arrêté|publication d'informations et documents sur le portail|disposition spécifique|ee44f00cbc434325843fbb7f72845ea1
modalités de publication|informations et documents| Publié sur|4e47c535816c49dabccf0b3e09f187a0
portail des marchés publics|modalités de publication| Hébergeur de|4e47c535816c49dabccf0b3e09f187a0
modalités de dépôt|plis et offres des concurrents| Effectué via|4e47c535816c49dabccf0b3e09f187a0
dépôt par voie électronique|modalités de dépôt| Méthode de|4e47c535816c49dabccf0b3e09f187a0
modalités de retrait|plis et offres des concurrents| Effectué via|4e47c535816c49dabccf0b3e09f187a0
retrait par voie électronique|modalités de retrait| Méthode de|4e47c535816c49dabccf0b3e09f187a0
modalités de dématérialisation|garanties pécuniaires| Traité par|4e47c535816c49dabccf0b3e09f187a0
dématérialisation des garanties pécuniaires|modalités de dématérialisation| Processus lié à|4e47c535816c49dabccf0b3e09f187a0
