node_1|node_2|edge|chunk_id
arrêté du ministre délégué|ministre de l'économie et des finances, chargé du budget| Publié par|3b43557b46c442bfad59617aad10dbc5
arrêté n° 1692-23|4 hija 1444 (23 juin 2023)|Date d'émission|3b43557b46c442bfad59617aad10dbc5
arrêté|dématérialisation des procédures, documents et pièces relatifs aux marchés publics|Portée|3b43557b46c442bfad59617aad10dbc5
loi n° 112-13|nantissement des marchés publics|Rappelant|3b43557b46c442bfad59617aad10dbc5
loi n° 43-20|services de confiance pour les transactions électroniques|Rappelant|3b43557b46c442bfad59617aad10dbc5
loi n° 53-05|échange électronique des données juridiques|Rappelant|3b43557b46c442bfad59617aad10dbc5
loi n° 55-19|simplification des procédures et formalités administratives|Rappelant|3b43557b46c442bfad59617aad10dbc5
loi n° 69-00|contrôle financier de l'état sur les entreprises publiques et autres organismes|Rappelant|3b43557b46c442bfad59617aad10dbc5
dahir n° 1-56-211|garanties pécuniaires des soumissionnaires et adjudicataires de marchés publics|Rappelant|3b43557b46c442bfad59617aad10dbc5
bulletin officiel n° 7222|30 moharrem 1445 (17-8-2023)| Publié dans|3b43557b46c442bfad59617aad10dbc5
